ID,UNCode,CountryName,SDGI_Rank,SDGI_Score,GeometricRank,GeometricScore,UNReg,UnRegSub,SDGIRegion,SDG1_190DAY_im,SDG1_OECDPOV,SDG2_CRLYLD,SDG2_NUE,SDG2_OBESITY,SDG2_STUNTING,SDG2_UNDERNSH_im,SDG2_WASTING,SDG3_FERTILITY,SDG3_HALE,SDG3_MATMORT,SDG3_NEONAT,SDG3_PHYS,SDG3_SMOKE,SDG3_SWB,SDG3_TB,SDG3_TRAFFIC,SDG3_U5MORT,SDG3_VAC,SDG4_LITERACY,SDG4_PISA,SDG4_PRIMARY,SDG4_SCHLYRS,SDG4_TERTIARY,SDG4_UPSEC,SDG5_CONTRA,SDG5_EDAT,SDG5_LFPR,SDG5_PARL,SDG5_PAYGAP,SDG6_FRESHWAT,SDG6_IMPSAN,SDG6_IMPWAT,SDG7_CO2TWH,SDG7_ELECAC,SDG7_NSFUELAC,SDG7_REN,SDG8_ADJGROWTH,SDG8_ATMS,SDG8_CLABOR_im,SDG8_EMPOP,SDG8_UNEMP,SDG8_YNEET,SDG9_INFRQUAL,SDG9_INTUSE,SDG9_LOGPERF,SDG9_MOBUSE,SDG9_PATENTS,SDG9_RDRES,SDG9_RD_im,SDG10_GINI,SDG10_JUSTICE,SDG10_PALMA,SDG11_PIPEDWAT,SDG11_PM25,SDG11_ROOMS,SDG12_MSW,SDG12_MSWRECYCL,SDG12_WASTEWAT,SDG13_CCVM,SDG13_CO2pCAP,SDG14_BIODIV,SDG14_CLEANWAT,SDG14_CPMA,SDG14_FISH,SDG14_FISHSTOCKS,SDG15_CPTA,SDG15_FORCHG,SDG15_REDLIST,SDG16_CPI,SDG16_GOVEFF,SDG16_HOMICIDE,SDG16_PRISON,SDG16_PRS,SDG16_SAFE,SDG16_U5REG,SDG17_GOVREV,SDG17_GOVSPD,SDG17_ODA
THA,764,Thailand,61,62.17,55,59.40,Asia,South-Eastern Asia,East & South Asia,0.059999999,,3.10289979,0.844962877,8.5,16.3,7.400000095,6.7,60,66,20,6.7,0.393,,6.454999924,171,36.2,12.30000019,99,96.59757476,437.3333435,95.60995,13.47211,,,9.185202259,94.68178203,78.20025294,6.099999905,,13.07,93,97.80000305,1.493059747,100,73.86841,,-0.815138754,111.9143573,8.300000191,,1.074928999,,4.011281857,34.89,3.40451,52.3,,,0.250559986,39.36999893,,,75.8920724,22.36005783,,1.76,,16,0.23,4.534491539,81.8,65.49,,67,42.96421685,53.09734513,6.351098205,0.803594608,38,3.43156454,5,398,4.101412273,69.41557978,99.4,24.128,12.39377975,
VEN,862,"Venezuela, RB",62,61.82,65,56.56,LAC,South America,LAC,0,,4.073500156,0.955947478,24.8,13.4,5,4.1,94.5,66,95,8.9,,,6.809999943,24,,14.89999962,78,98.53329802,,91.41137,14.21738,,,22.08520179,106.8764927,65.27249557,17,,1.707,94.40000153,93.09999847,1.262987013,100,95,,-4.213626887,43.65658446,7.699999809,,7.993808746,,2.568276499,57,2.605082,40.9,,,,44.77000046,,,90.3442343,13.42541027,,1.5,,14.93829091,0.05,6.416333675,78.46,58.28,11.53846154,44,87.54,22.36842105,2.43523329,0.828296594,17,1.405870664,53.7,161,1.594197532,13.81508838,80.8,,,
MYS,458,Malaysia,63,61.66,63,56.71,Asia,South-Eastern Asia,East & South Asia,0.280000001,,3.905499935,0.790535508,13.3,17.2,5,0,12.7,65,40,3.9,1.198,,5.769999981,103,24,7,94,98.41871381,413,97.03121,12.73096,,,42.20430108,92.96333003,66.41883581,10.39999962,,1.931,96,98.19999695,1.498192336,100,95,,1.02779245,51.90798746,,,2.934149504,,5.625863885,67.5,3.558952,12.5,,,1.065289974,46.20999908,,,100,14.40485382,,1.52,,8.64,0.07,7.898823738,80.16,66.84,0,65,19.23256173,3.773584906,19.14796741,0.69699514,50,5.096361681,2.3,132,5.350822533,44.40079484,,24.873,11.033391,
MAR,504,Morocco,64,61.62,56,59.25,Africa,Northern Africa,MENA,3.119999886,,1.454400063,0.809204788,22.3,14.9,5,2.3,32,61,121,17.6,0.62,,5.013000011,106,20.8,27.60000038,99,81.51006786,,98.27114,11.56266,,,25.39414414,60.60037523,34.80663015,17,,35.69,76.69999695,85.40000153,1.802867384,100,95,,-1.353223129,25.82532288,8.300000191,,9.607040405,,4.356321316,56.8,3.14,15,,,0.733799994,40.88000107,,,91.0071916,17.35731125,,1.46,,39.39325,0.09,1.737915516,83.79,68.17,6.666666667,79,4.839853773,14.5631068,4.389160928,0.887012386,36,3.743168046,2.2,220,4.690334964,66.35722986,94,28.646,13.3388195,
AZE,31,Azerbaijan,65,61.34,68,55.90,Asia,Western Asia,Europe & C. Asia,0,,2.343699932,0.698931065,22.5,18,5,3.1,47.2,63,25,18.2,3.402,,5.211999893,77,10,31.70000076,94,99.93674889,,89.10507,11.94018,,,69.01287554,93.4489859,,16.89999962,,34.52,89.30000305,87,1.260683761,100,93.34912,,-1.427847026,35.14366077,6.5,,4.729383469,,4.805579688,61,2.714286,43.9,,,0.210840002,33.70999908,,,89.456318,20.79508972,,,,13.14649,0.16,3.64737916,,,,,,3.773584906,0.56960966,0.908574499,29,3.804714013,2.1,413,3.809204208,75.94175973,93.6,39.431,8.226214409,
EGY,818,"Egypt, Arab Rep.",66,60.88,66,56.30,Africa,Northern Africa,MENA,,,7.162299633,0.624786893,28.9,22.3,5,9.5,56,62,33,12.8,2.83,,4.193999767,15,12.8,24,93,89.28192062,,95.10083,13.52824,,,19.70873786,70.83333333,31.19890891,2,,126.6,94.69999695,99.40000153,1.098331347,100,95,,-3.371234862,12.66749196,9.300000191,,12.12278843,,3.140830945,31.7,2.86127,31.1,,,0.428629994,30.77000046,,,100,36.40500259,,1.37,,49.49813896,0.09,2.635115147,90.26,64.19,33.33333333,49,41.39212608,31.57894737,0.978653485,0.917231986,36,3.261799561,3.4,80,3.941932576,84.18171882,99,23.019,9.250097275,
KGZ,417,Kyrgyz Republic,67,60.85,88,50.61,Asia,Central Asia,Europe & C. Asia,2.910000086,,2.276299953,0.582231895,14.4,12.9,6,2.8,42.1,61,76,11.5,1.969,,5.285999775,142,22,21.29999924,96,99.75185022,,91.21143,12.51298,,,34.99170813,99.33820031,64.39790547,19.20000076,,32.63,93.30000305,90,0.635714286,100,66.33673,,-2.924024936,24.65135291,25.79999924,,8.167235374,,3.312609564,28.3,2.045971,19.1,,,0.156330004,33.38000107,,,87.7339488,18.33702087,,,,4.2,0.1,1.199591637,,,,,,0,0.341698115,0.983462256,28,3.121744115,9.1,181,3.299270998,51.01047986,98.3,34.448,13.61859894,
ALB,8,Albania,68,60.77,62,56.71,Europe,Southern Europe,Europe & C. Asia,1.059999943,,4.89260006,0.897875622,17.6,23.1,,9.4,19.7,65,29,6.2,1.145,,4.959000111,19,15.1,14,98,98.79119016,395,91.24935,11.82,,,75.92407592,91.97434909,71.68284755,20.70000076,,4.341,93.19999695,95.09999847,0.514285714,100,61.41861,,-1.614397484,35.02526367,5.099999905,,17.28909302,,3.932861223,60.1,2.43,28.2,,,0.153080001,34.50999832,,,86.2021073,15.9476757,,0.77,,3.3572,0.25,1.607037663,90.11,67.39,40,62,,37.5,5.045725971,0.854345618,36,3.567322019,5,158,3.048397068,61.40833033,98.6,23.719,9.304087639,
MUS,480,Mauritius,69,60.72,75,54.15,Africa,Eastern Africa,Africa,0.529999971,,3.765100002,1.107866957,17.9,,5,,29.4,65,53,8.4,1.057,,5.477000237,22,12.2,13.5,97,98.13035494,,98.12052,15.57618,,,34.49519231,87.38611691,60.05326151,11.60000038,,26.35,93.09999847,99.90000153,1.310344828,100,95,,0.317233678,44.75015557,,,7.891042709,,4.579701052,41.44,2.5,28.7,,,0.372289985,,,,99.916148,9.653422356,,2.3,,5.438888889,,3.127070904,89.87,62.33,0,69,54.06,0,4.280833806,0.404354553,53,4.298001497,2.8,202,5.094426316,63.91657221,,21.354,8.867689133,
PAN,591,Panama,70,60.71,67,55.94,LAC,Central America,LAC,2.859999895,,2.896800041,1.029927647,26.8,19.1,9.5,1.2,91.1,67,94,9.6,1.65,,6.785999775,46,10,17,80,97.63853103,,90.68056,13.27974,,,25.05543237,105.3614173,62.72040086,18.29999924,,0.7444,75,94.69999695,1.022222222,90.8754425,82.48797,,2.930533913,60.8394214,5.599999905,,5.188392639,,4.77369912,44.92,2.995915,25.2,,,0.195189998,51.91999817,,,96.7902399,6.812154293,,1.21,,20.149375,0.05,2.625276327,74.88,68.02,11.76470588,94,43.51681703,19.23076923,5.086241817,0.73631653,39,3.602270628,17.2,411,4.655751632,49.76440572,,24.632,10.70153999,
ECU,218,Ecuador,71,60.69,64,56.57,LAC,South America,LAC,4.429999828,,3.626699924,1.012195901,18.7,25.2,10.89999962,2.3,,66,64,10.8,1.724,,5.974999905,54,20.1,21.60000038,83,98.604636,,97.03364,14.17201,,,24.87309645,97.85401841,61.7875682,41.59999847,,2.241,84.69999695,86.90000153,1.69527897,97.19999695,95,,-1.128344285,40.57754557,3,,4.31227684,,4.589285851,43,2.497314,8.3,,,0.227789998,49.25999832,,,92.7866508,13.90796757,,1.13,,6.4,0.07,2.354017496,78.1,65.57,50,46,47.73173339,10.48387097,3.140778977,0.688819302,32,2.879376765,12.4,149,3.931034565,51.65967232,90,39.44,10.98109818,
